backbone,dataset,artifact_name,artifact_dir,registry_member,registry_contract_valid,classification,complete_test_contract,audit_or_smoke_name,operator_audit_name,method,axis,seed,selected_epoch,balanced_accuracy,cohen_kappa,macro_f1,weighted_f1,macro_f1_reconstructed,metric_source,config_present,local_log_present,checkpoint_best_present,summary_present,final_test_present
CBraMod,FACED,faced_interaction_channel_seed42_smoke_20260731_final,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_interaction_channel_seed42_smoke_20260731_final,False,,audit_or_smoke,False,True,False,interaction_aligned,channel,42.0,,,,,,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_interaction_cp_seed42_smoke_20260731,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_interaction_cp_seed42_smoke_20260731,False,,audit_or_smoke,False,True,False,interaction_aligned,channel_patch,42.0,,,,,,False,CBraMod/test_metrics.json,True,False,False,False,False
CBraMod,FACED,faced_interaction_cp_seed42_smoke_20260731_final,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_interaction_cp_seed42_smoke_20260731_final,False,,audit_or_smoke,False,True,False,interaction_aligned,channel_patch,42.0,,,,,,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_interaction_cp_seed42_smoke_20260731_rerun,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_interaction_cp_seed42_smoke_20260731_rerun,False,,audit_or_smoke,False,True,False,interaction_aligned,channel_patch,42.0,,,,,,False,CBraMod/test_metrics.json,True,False,False,False,False
CBraMod,FACED,faced_interaction_patch_seed42_smoke_20260731_final,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_interaction_patch_seed42_smoke_20260731_final,False,,audit_or_smoke,False,True,False,interaction_aligned,patch,42.0,,,,,,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_lora_qkv_r8_s1024_lr1e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_lora_qkv_r8_s1024_lr1e-4_b64_e50,True,True,registry_complete,True,False,False,lora,none,1024.0,44.0,0.48698336017176597,0.4184548013762903,0.48999225643767486,0.4857200462209854,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_lora_qkv_r8_s3407_lr1e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_lora_qkv_r8_s3407_lr1e-4_b64_e50,True,True,registry_complete,True,False,False,lora,none,3407.0,46.0,0.4928878153515835,0.42720106768986954,0.49389575752885645,0.49130026136538907,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_lora_qkv_r8_s42_lr1e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_lora_qkv_r8_s42_lr1e-4_b64_e50,True,True,registry_complete,True,False,False,lora,none,42.0,38.0,0.500805152979066,0.4353873423000729,0.5045766627858033,0.5012788650178033,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_native_channel_patch_r32_s42_gate_20260805,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_native_channel_patch_r32_s42_gate_20260805,True,True,registry_complete,True,True,False,interaction_aligned,channel_patch,42.0,19.0,0.3875469672571122,0.30994541894087746,0.38746340971933146,0.38706495295110743,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_native_channel_patch_s1024_adapterlr5e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_native_channel_patch_s1024_adapterlr5e-4_b64_e50,True,True,registry_complete,True,False,False,interaction_aligned,channel_patch,1024.0,29.0,0.32165861513687605,0.23509692464655296,0.2944946883356739,0.29477587595626425,False,CBraMod/test_metrics.json,True,False,False,True,False
