backbone,dataset,method,axis,n,seeds,balanced_accuracy_mean,balanced_accuracy_sd,cohen_kappa_mean,cohen_kappa_sd,macro_f1_mean,macro_f1_sd,weighted_f1_mean,weighted_f1_sd,trainable_parameters_mean,trainable_parameters_sd,selected_epoch_mean,selected_epoch_sd
CBraMod,tuev,upper_k_finetune,none,3,"42,1024,3407",0.5567185306533096,0.031103989893177985,0.5639597583732906,0.03302020143925816,0.5175198770957643,0.020438198630522004,0.7732020372511891,0.015570050417160922,17007606.0,0.0,5.666666666666667,3.0550504633038935
LaBraM,FACED,frozen_native_generic,generic,3,"42,1024,3407",0.1781624619788871,0.002589364043372042,0.0775309408486788,0.0031025664704769085,,,0.17258313894551613,0.0027746925262232417,28074.0,0.0,69.33333333333333,6.3508529610858835
LaBraM,FACED,frozen_native_patch,patch,3,"42,1024,3407",0.16738235820361422,0.007355313904501985,0.06428457551411115,0.007906753547016525,,,0.15637814057344931,0.0007395742931539921,163010.0,0.0,39.333333333333336,2.309401076758503
LaBraM,FACED,frozen_probe,none,3,"42,1024,3407",0.1400071569153695,0.003448329553087873,0.035222706757699784,0.0031208738707254754,,,0.10316768405635572,0.01755502177887704,1809.0,0.0,30.0,13.856406460551018
LaBraM,FACED,lora,qkv,3,"42,1024,3407",0.28234031132581855,0.03240205872763353,0.19177241470051412,0.036204826045444755,,,0.28012555140690215,0.031852416571537326,78609.0,0.0,62.333333333333336,17.009801096230763
LaBraM,FACED,upper2,upper,3,"42,1024,3407",0.29687779567006617,0.0010846623414727317,0.2080992204638428,0.001244822008550054,,,0.2966331059316612,0.0015233410979761785,967169.0,0.0,66.66666666666667,7.371114795831994
LaBraM,ISRUC,axis_blind,generic_token_control,3,"42,1024,3407",0.7232984103817328,0.002186279556552195,0.6831573889890157,0.002126034535355831,,,0.7456101362539256,0.0017647073652331939,162006.0,0.0,22.0,0.0
LaBraM,ISRUC,dense,none,1,42,0.804765071032708,0.0,0.7688569902257629,0.0,,,0.8210639088236777,0.0,6303541.0,0.0,8.0,0.0
LaBraM,PhysioNet-MI,dense,none,3,"42,1024,3407",0.6093160871697446,0.014718908398755564,0.4790947979557488,0.019570979827254895,,,0.6102853714177366,0.01535407451733555,5820740.0,0.0,18.0,2.6457513110645907
LaBraM,PhysioNet-MI,frozen_native_channel_patch,channel_patch,3,"42,1024,3407",0.28325861914369405,0.0052134765174634235,0.04444439907373543,0.006939598671803246,,,0.26723916303577,0.009526440121530276,86614.0,0.0,24.666666666666668,2.8867513459481287
